"STREET_ID","POST_INDEX_ID","COMMENTS"
361,8,""
362,8,""
363,7,""
364,7,""
365,0,""
366,0,""
367,4,""
368,0,""
369,0,"Н(1-61),Ч(2-56) -"
369,13,"Н(63-105),Ч(66-112) -"
371,5,""
372,15,""
373,13,""
374,7,""
375,5,""
376,0,"Н(1-49),Ч(2-38) -"
376,13,"Н(51-999),Ч(40-998) -"
377,0,""
378,8,""
379,8,""
380,6,""
381,20,""
385,19,""
386,16,""
387,16,""
388,7,""
389,20,""
390,16,""
391,1,""
392,8,""
393,7,""
394,5,""
395,19,""
396,14,""
397,22,""
398,0,""
399,0,""
400,7,""
401,7,""
404,20,""
406,19,""
407,11,"13,17,Н(19-59) -"
407,19,"Ч(60-92),Н(109-111),Н(119-177) -"
408,1,""
409,13,""
410,10,""
411,14,""
413,11,""
414,1,""
415,8,""
417,19,""
418,6,""
419,9,""
420,6,""
421,9,""
422,15,""
424,14,""
425,14,""
426,5,""
427,10,""
428,14,""
429,14,""
430,13,""
431,16,""
432,0,""
433,12,""
434,0,""
435,15,""
436,13,"Н(15-17),Ч(2-998) -"
436,0,"Н(3-13),Н(19-999) -"
437,6,""
438,5,"Н(1-81),Ч(2-32) -"
438,20,"Н(161-999),Ч(34-998), Н(83-151) -"
439,6,""
440,6,""
444,14,""
444,15,""
441,8,""
442,20,""
445,8,""
446,8,""
447,5,""
448,3,""
450,4,""
451,4,""
452,11,""
453,8,""
455,5,""
454,11,"Н(21-59),Ч(32-38),40,Ч(52-58) -"
454,5,"Ч(62-66),Н(65-999) -"
456,16,""
457,7,""
458,7,""
459,13,""
460,13,""
461,9,""
462,15,""
463,10,""
464,12,""
465,12,""
466,4,""
467,15,""
468,15,""
469,16,""
470,16,""
471,21,""
472,7,""
473,15,""
475,15,""
476,15,""
477,8,""
478,15,""
479,15,""
480,15,""
481,15,""
482,5,""
483,10,""
484,3,""
485,19,""
486,19,""
487,10,""
488,7,""
489,14,""
490,19,""
491,20,""
492,8,""
493,11,""
494,5,""
495,5,""
496,13,""
497,11,""
498,4,""
499,8,""
501,9,""
502,0,""
503,20,""
504,8,""
505,0,""
506,10,""
508,16,""
509,1,""
510,8,""
511,8,""
512,15,""
513,21,""
514,4,""
515,0,""
516,12,""
518,16,""
519,13,""
520,20,""
521,0,""
522,19,""
523,14,""
524,14,""
525,16,""
526,13,""
527,15,""
528,19,""
529,13,""
530,0,""
531,20,""
532,0,""
533,20,""
534,0,""
535,1,"255,258,262,Ч(164-172),Н(181-187),205,206,238"
535,5,"Н(1-165),Ч(2-162),Н(173-179),Ч(182-208),185"
536,15,""
537,16,""
538,15,""
539,3,""
540,9,""
541,0,""
543,0,""
551,0,""
552,8,""
553,8,""
554,13,""
555,4,""
562,13,""
563,8,""
565,19,""
566,13,""
548,20,""
549,20,""
550,0,"Н(1-49),Ч(2-58) -"
550,15,"Н(51-999),Ч(62-998) -"
557,6,""
558,7,""
559,14,""
560,14,""
561,5,""
568,10,""
569,16,""
570,16,""
571,20,""
572,0,""
573,9,""
574,8,""
575,16,""
576,15,""
578,21,""
580,8,""
582,9,""
583,9,""
584,4,""
585,20,""
586,0,""
587,0,""
588,13,""
589,13,""
590,4,""
591,20,""
592,20,""
593,20,""
594,20,""
595,19,""
596,19,""
597,19,""
598,19,""
599,15,""
600,13,""
601,4,""
602,0,""
603,15,""
604,15,""
605,8,""
606,9,""
607,0,""
609,9,""
610,4,""
611,15,""
612,13,""
613,13,""
614,7,""
615,0,""
616,0,""
619,22,""
618,15,""
620,11,""
621,15,""
622,15,""
623,20,""
624,16,""
625,16,""
626,15,""
629,20,""
627,20,""
628,20,""
630,5,""
637,19,""
638,8,""
639,7,""
640,8,""
641,8,""
643,21,""
644,0,""
645,19,""
646,19,""
647,13,""
649,15,""
650,0,""
651,20,""
652,3,""
653,0,""
654,0,""
655,0,""
656,8,""
657,20,""
660,4,""
664,5,""
665,11,""
666,19,""
667,19,""
669,15,""
670,20,""
671,20,""
672,20,""
673,2,""
674,17,""
675,15,"114,Н(111-133) -"
675,21,"Н(1-87),Ч(52-92) -"
676,0,""
677,21,"Н(1-39),Ч(2-30) -"
677,15,"Н(41-999),Ч(32-998) -"
679,20,""
680,21,""
681,13,""
632,4,""
633,19,""
635,4,""
636,11,""
658,0,""
659,0,""
661,15,""
662,11,""
663,11,""
682,0,""
683,15,""
684,8,""
686,7,""
687,22,""
688,22,""
689,8,""
690,8,""
691,8,""
692,8,""
693,0,""
694,15,""
695,9,""
696,15,""
697,8,""
699,8,""
700,8,""
701,0,""
702,16,""
703,16,""
704,16,""
705,11,""
706,11,""
707,0,""
708,7,""
709,7,""
711,0,""
712,21,""
713,14,""
714,0,""
715,8,""
716,13,""
717,8,""
718,0,""
719,8,""
721,16,""
722,0,""
723,15,""
724,5,""
725,16,""
726,1,""
727,14,""
727,4,""
728,21,""
729,9,""
730,8,""
731,8,""
732,1,""
733,13,""
734,0,""
735,0,""
736,9,""
737,9,""
738,15,""
739,15,""
740,10,""
741,16,""
742,15,""
743,0,""
744,21,""
745,8,""
746,10,""
747,0,""
748,8,""
749,9,""
750,11,""
751,19,""
752,20,""
753,20,""
754,10,""
755,10,""
756,5,""
757,1,""
758,10,""
760,10,""
763,16,""
765,0,""
766,18,"66,68,82 -"
766,0,"Н(1-45),Ч(2-50) -"
766,13,"Н(49-999),Ч(74-80),Ч(84-998) -"
766,19,""
768,15,""
769,13,""
770,13,""
771,13,""
772,13,""
773,9,""
774,0,""
775,4,""
776,0,""
777,0,""
778,0,""
779,13,""
780,16,""
781,8,""
782,8,""
783,19,""
784,19,""
785,19,""
786,20,""
787,13,""
788,19,""
789,15,""
790,10,""
791,10,""
792,11,""
793,11,""
794,0,""
795,0,""
796,19,""
797,15,""
798,22,""
798,5,""
800,4,"Н(1-13),Ч(2-12) -"
800,9,"Н(15-999),Ч(14-998) -"
799,9,""
801,9,""
802,19,""
803,19,""
804,10,""
805,10,""
806,19,""
807,10,""
808,10,""
809,7,""
810,7,""
811,8,""
812,1,""
813,19,""
814,13,""
815,14,""
816,14,""
817,1,""
818,21,"Н(13-999),34 -"
818,0,"Ч(36-999) -"
819,0,""
820,6,""
821,8,""
822,8,""
823,3,""
824,15,""
824,14,""
825,8,""
826,10,""
827,10,""
828,4,""
829,4,""
830,9,""
831,4,""
832,9,""
833,9,""
834,1,""
835,11,""
837,20,""
836,20,""
838,4,""
839,20,""
841,13,""
843,8,""
844,1,""
845,6,""
846,0,""
847,7,""
848,7,""
849,7,""
850,9,""
851,11,""
852,20,""
853,8,""
854,21,""
855,0,""
856,10,""
858,0,""
859,11,""
861,0,""
862,0,""
864,15,""
865,15,""
868,8,""
869,4,""
870,0,""
871,1,""
873,19,""
874,5,"4,6 -"
874,11,"Ч(30-96),Н(11-105) -"
875,7,""
876,10,""
877,8,""
882,3,""
883,8,""
884,0,""
885,8,""
886,21,""
886,5,""
887,8,""
888,8,""
889,20,""
890,0,""
891,8,""
892,13,""
893,10,""
895,7,""
896,5,""
901,0,""
902,15,"1-5 -"
902,11,"80 -"
902,21,"9,11,16-79,81-999 -"
903,6,""
904,1,""
905,0,""
906,19,""
907,1,""
908,0,""
909,19,""
910,21,""
911,0,""
912,16,""
878,13,""
879,8,""
880,1,""
881,12,""
897,5,""
898,3,""
899,15,""
900,0,""
914,8,""
915,1,""
916,1,""
917,9,""
918,14,""
920,13,""
922,20,""
923,0,""
924,20,""
925,19,""
926,19,""
927,10,""
929,19,""
930,7,""
931,20,""
932,20,""
933,0,""
934,20,""
937,0,""
938,3,""
939,8,""
1013,1,""
941,1,""
942,16,""
943,11,""
944,7,""
945,11,""
946,15,""
1006,5,""
1007,5,""
1024,108,""
1027,109,""
1028,110,""
1038,113,""
1035,112,""
1037,113,""
1041,114,""
1043,112,""
1044,112,""
1045,111,""
1046,102,""
1047,116,""
1040,118,""
1048,106,""
1049,119,""
1050,119,""
1051,104,""
1052,113,""
1053,109,""
1061,120,""
1062,120,""
1020,120,""
1064,120,""
1070,113,""
1071,113,""
1072,113,""
1073,107,""
1074,112,""
1076,105,""
445,111,""
727,108,""
1081,116,""
818,113,""
820,107,""
1086,108,""
237,112,""
271,112,""
1020,112,""
765,112,""
626,111,""
271,111,""
1131,105,""
1087,112,""
1139,107,""
1069,120,""
1141,104,""
1149,103,""
1160,113,""
1161,113,""
1163,104,""
1164,117,""
1166,116,""
1167,113,""
1169,112,""
1170,112,""
1171,112,""
1172,112,""
1173,113,""
1174,112,""
208,113,""
1208,113,""
1219,112,""
1220,107,""
1221,110,""
1283,183,""
1284,184,""
1285,184,""
1288,187,""
1304,136,""
1308,204,""
614,181,""
1309,181,""
1312,168,""
1328,215,""
1327,216,""
1333,218,""
1336,105,""
1339,102,""
1342,120,""
1343,106,""
1345,106,""
1356,116,""
1357,107,""
1358,106,""
1359,121,""
1360,113,""
1361,113,""
1362,108,""
1363,106,""
1368,117,""
1369,121,""
1371,113,""
1372,113,""
1374,121,""
1383,113,""
1391,178,""
1393,108,""
1397,227,""
1402,137,""
1413,168,""
1415,154,""
1416,103,""
1418,109,""
1422,105,""
1423,111,""
1020,105,""
