"BRANCH_ID","LEGEL_NAME","ADDRESS_ID","PHONE_ID","FORM_TYPE_ID","COMMENTS","ORG_ID","MAIN_BRANCH","FACT_NAME"
4760,"Вестрыбфлот",4799,7603,5,"",4993,1,"Вестрыбфлот"
4763,"Зеленстрой",4802,7608,5,"",4995,1,"Зеленстрой ООО"
4983,"ЖЭУ №13 МУП",5022,7891,5,"",5243,1,"ЖЭУ №13"
4987,"ЖЭУ №7",5026,7895,25,"",5247,1,"ЖЭУ №7"
4990,"РСУ №6 Управляющая компания",5029,7898,5,"",5250,1,"РСУ №6 УК"
4991,"ЖЭУ №14",5030,,25,"",5251,1,"ЖЭУ №14"
4995,"Управляющая компания Балтийского района №1",5034,7904,25,"",5256,1,"Управляющая компания Балтийского района №1"
5017,"Водоканал",5056,7928,25,"",5279,1,"Водоканал"
5033,"Станция перекачки",5072,7944,27,"",5297,1,"Станция перекачки"
5059,"Управляющая компания Ленинградского района",5098,7971,27,"",5325,1,"Управляющая компания Ленинградского района"
20281,"Заветинская начальная школа-детский сад",20035,,16,"",18517,1,"Заветинская начальная школа-детский сад"
20282,"Краснолесенская начальная школа-детский сад",20036,,29,"",18518,1,"Краснолесенская начальная школа-детский сад"
20283,"Фито-Депо ГК",20037,,5,"",18519,1,"Овощи Калининграда ООО"
20284,"Русское Поле-Калининград",20038,,5,"",18520,1,"Русское Поле-Калининград"
20285,"Потенциал-Инвест",20039,,5,"",18521,1,"Потенциал-Инвест"
20286,"№1 Детский сад Петушок",20040,,29,"",18523,1,"№1 Детский сад Петушок"
7248,"Вектор ГК",7287,10898,5,"",7423,1,"Вектор ГК"
7250,"КалининградГазПриборАвтоматика",7289,10902,5,"",7425,1,"Калининградгазприборавтоматика ООО"
20287,"№2 Детский сад Дружба",20041,,29,"",18524,1,"№2 Детский сад Дружба"
7260,"Тамро Круглосуточная справочная",7299,10916,8,"",7436,1,"Тамро Круглосуточная справочная"
7256,"Тамро",7295,10912,8,"",7432,1,"Тамро"
7259,"Балтийский институт красоты и здоровья",7298,10915,5,"",7435,1,"Балтийский институт красоты и здоровья"
6324,"ЖЖелезнодорожный вокзал г. Светлогорска",6363,9489,27,"",6600,1,"Железнодорожный вокзал г. Светлогорска"
6378,"1000 Мелочей Сервис",6417,9574,5,"",6649,1,"1000 Мелочей Сервис"
6412,"Игрушки",6451,9632,5,"",6667,1,"Дом игрушки"
6433,"Markis",6472,9648,5,"",2284,1,"Markis"
6436,"Балт-Актор",6475,20401,6,"",6681,0,"Балт-Актор"
6471,"БизнесАрт Консалт Экспертная группа",6510,9707,5,"",6707,1,"БизнесАрт Консалт Экспертная группа"
6473,"Балтийская лесная компания",6512,18835,5,"",6709,1,"Балтийская лесная компания"
6506,"Шепот",6545,9772,5,"",6740,1,"Шепот ООО"
6510,"Балорусский Дом Мебели",6549,9787,5,"",6744,1,"НЕДОЗВОН/Белорусский Дом Мебели"
7266,"Промстрой-Инвест",7305,10930,5,"",7443,1,"ПРОМСТРОЙ ООО"
7274,"Виктория",7313,10947,5,"",7451,0,"Виктория   "
7276,"Виктория",7315,10949,5,"",7451,0,"Виктория   "
7280,"Виктория",7319,10947,5,"",7451,0,"Виктория   "
7283,"Кумпан",7322,10960,7,"",7454,1,"Кумпан ИП"
7290,"Школа-интернат лицей-интернат",7329,10970,16,"",7459,1,"Школа-интернат лицей-интернат"
7297,"Большаковский психоневрологический дом-интернат",7336,10978,34,"",7467,1,"Большаковский психоневрологический дом-интернат"
7717,"Tom Klaim & Climona Салон-магазин",7756,11604,5,"",7889,1,"Tom Klaim & Climona Салон-магазин"
24266,"Отделения почтовой связи Гурьевского МР",23982,,27,"",20814,0,"Отделения почтовой связи Гурьевского МР"
7729,"Адвокатская контора Волкова В.Р.",7768,11624,5,"",7903,1,"Адвокатская контора Волкова В.Р."
7738,"Калининградская областная Ассоциация производителей молока ",7777,11639,19,"",7914,1,"Калининградская областная Ассоциация производителей молока"
7748,"Экобалтсервис",7787,11654,8,"",7924,1,"Экобалтсервис ЗАО"
7754,"БалтТелеком Сервис",7793,11664,5,"",7930,1,"БалтТелеком Сервис"
7756,"Авантаж",7795,24218,5,"",7932,1,"Авантаж ООО"
8107,"Калининградтеплосеть",8146,12208,25,"",8320,1,"Калининградтеплосеть"
8115,"Сигмарин",8154,,5,"",8330,1,"Сигмарин"
8243,"Стройкомплект-Бетон",8282,12409,8,"",8464,1,"Стройкомплект-Бетон ЗАО"
24267,"Отделение почтовой связи Пионерского ГО",23983,,27,"",20815,1,"Отделение почтовой связи Пионерского ГО"
8274,"К.И.М. стоматологическая клиника",8313,12465,5,"",8496,1,"К.И.М."
8285,"Балтик Мастер",8324,12487,8,"",8506,1,"Балтик Мастер"
8360,"Александра и К Торговый центр",8399,12608,5,"",8590,1,"Александра и К Торговый центр"
8397,"Илюшинская средняя общеобразовательная школа",8436,12648,16,"",8627,1,"Илюшинская средняя общеобразовательная школа"
8404,"Калининская начальная школа-детский сад",8443,12655,16,"",8636,1,"Калининская начальная школа-детский сад"
8419,"Васильковский лицей",8458,12670,16,"",8652,1,"Васильковский лицей"
8424,"Луговская средняя общеобразовательная школа",8463,12675,16,"",8657,1,"Луговская средняя общеобразовательная школа"
