id,rub_id,name
281,130,"Спецодежда"
282,134,"Закаленное стекло"
283,134,"Москитная сетка"
284,134,"Фасады зданий из стекла"
285,135,"Контактные линзы"
286,136,"Агентство праздников"
287,136,"Корпоративные вечеринки"
288,136,"Организация концертов"
289,136,"Торжества"
290,138,"Свет"
291,139,"Сюрвейерское обслуживание"
292,139,"Шипчандлерское обслуживание"
293,140,"Керамическая плитка"
294,140,"Натяжные потолки"
295,140,"Обои"
296,141,"Котлы"
297,141,"Отопительные котлы"
298,141,"Отопительные системы"
299,141,"Отопление"
300,141,"Радиаторы отопления"
301,315,"Рыболовство"
302,144,"Косметические услуги"
303,144,"Салоны красоты"
304,145,"Фейерверки"
305,390,"Кинология"
306,173,"Саженцы"
307,173,"Семена"
308,148,"Резиновые изделия"
309,149,"Вилочные погрузчики"
310,150,"Сувениры"
311,151,"Водопровод"
312,151,"Защитные и охранные системы"
313,151,"Монтаж и наладка систем"
314,151,"Монтаж охранно-пожарных сигнализаций"
315,151,"Огнезащита, огнетушители"
316,151,"Системы безопасности"
317,151,"Системы видеонаблюдения"
318,369,"Карьеры"
319,152,"Бумага для полиграфии"
320,152,"Издательства"
321,152,"Ламинирование"
322,152,"Оперативная полиграфия"
323,152,"Офсетная печать"
333,152,"Печати и штампы"
334,152,"Типография"
335,153,"Порты"
336,154,"Матрасы"
337,155,"Столовые приборы"
338,156,"Стирка белья"
339,395,"Продукты магазин"
340,158,"Соль"
341,159,"Архитектура"
342,380,"Нитки"
343,380,"Швейная фурнитура"
344,380,"Шерсть"
345,407,"Техосмотр"
346,320,"Радиооборудование"
347,162,"Наружная реклама"
348,162,"Согласование наружной рекламы"
349,163,"Бизнес-сувениры"
350,164,"Бары"
351,370,"Оснащение гостиниц"
352,370,"Оснащение ресторанов, баров"
353,166,"Морские продукты"
354,167,"Парники"
355,397,"СРО"
356,168,"Душевые кабины"
357,168,"Смесители"
358,170,"Электросварочное оборудование"
359,371,"Метрология"
360,174,"Аренда складов"
361,177,"Кубки, медали"
362,177,"Спортивная одежда"
363,178,"Имплатнология"
364,178,"Протезирование"
365,179,"Медицинское страхование"
366,180,"Дорожно-строительная техника"
367,180,"Техника строительная"
368,180,"Экскаваторы"
369,182,"Капитальный ремонт"
370,182,"Отделочные работы"
371,182,"Реконструкция и ремонт"
372,183,"Судоремонт"
373,184,"Портфели"
374,184,"Чемоданы"
376,300,"Универмаги"
375,300,"Рынки"
377,186,"Сигареты"
378,189,"Гофротара"
379,189,"Упаковка"
380,192,"IP-телефония"
