"SOC_RUB_ID","ORG_ID"
28,18963
28,18966
28,22769
28,23888
28,24065
29,444
29,1069
29,4648
29,9220
29,11565
29,13271
29,19896
29,20019
29,20713
29,22746
30,467
30,7805
30,13768
30,14198
30,16425
30,19374
30,20561
30,20713
30,24071
34,875
34,1882
34,3940
34,5279
34,5289
34,14198
34,15140
34,18782
34,18786
34,24165
35,867
35,5344
35,6928
35,10906
36,294
36,8073
36,10937
36,13768
36,23095
36,23906
37,444
37,1882
37,4610
37,8320
37,8323
37,12470
37,12496
37,12804
37,15141
37,18683
37,18888
37,19100
37,19190
37,20587
37,23584
38,4495
38,5461
38,5464
38,5466
38,5467
38,5473
38,5477
38,5478
38,5480
38,5481
38,5482
38,7147
38,8408
38,9783
38,11460
38,14819
38,14839
38,15015
38,15141
38,17229
38,19110
38,19299
38,19452
38,19517
38,19687
38,19834
38,20605
38,20641
38,20898
38,21694
38,22513
38,23919
40,3127
40,19411
41,1177
41,2638
41,6511
41,12690
41,14879
41,16425
41,18245
41,19212
41,19561
41,19599
41,20262
41,21155
41,22494
41,22826
41,23093
42,6207
42,6209
42,6221
42,12313
42,13053
42,23270
43,4987
43,12337
43,18593
44,1204
44,1727
44,2608
44,4987
44,6252
44,6402
44,6478
44,6599
44,6821
44,7096
44,8495
44,8690
44,9785
44,10657
44,11667
44,12184
44,12267
44,12387
44,13037
44,14019
44,14257
44,15237
44,15398
44,18232
44,19349
44,19350
44,19752
44,20753
44,21168
44,22079
44,24074
46,6199
46,13216
46,13921
46,13923
46,21997
47,6543
47,18785
48,5048
48,5052
48,6289
48,6294
48,6306
48,6322
48,6330
48,6337
48,6379
48,6384
48,6396
48,6398
48,6719
48,7569
48,11084
48,12043
48,12316
48,12526
48,12528
48,12789
48,12973
48,12981
48,12982
48,12983
48,12986
48,12987
48,12989
48,12990
48,13001
48,13004
48,13007
48,13009
48,13012
48,13015
48,13020
48,13022
48,13029
48,14022
48,15168
48,15668
48,18595
48,18596
48,18597
48,18602
48,18603
48,18604
48,18605
48,18606
48,18869
48,18870
48,18872
48,18874
48,20477
48,20742
48,20890
48,20915
49,5355
49,5358
49,6165
49,12635
49,13162
49,13171
49,17683
49,18589
49,18590
49,18591
49,18592
49,18735
49,19343
50,566
50,6227
50,6404
50,6405
50,6410
50,6411
50,8312
50,8346
50,8367
50,8382
50,8384
50,8385
50,12731
50,12795
50,13200
50,13201
50,13202
50,13203
50,13204
50,13208
50,15224
50,15236
50,16401
50,23773
51,2638
51,6511
51,12690
51,14879
51,15661
51,16425
51,18909
51,19212
51,19349
51,19511
51,20262
52,5149
52,6349
52,6362
52,6367
52,12940
52,15907
52,18611
52,18612
52,18613
52,18614
52,18615
52,18616
52,18618
52,18619
52,18620
52,18621
52,18622
52,18623
52,18624
52,18627
52,18628
52,18629
52,18630
52,18631
52,18879
52,20384
52,23102
52,23724
52,23933
54,13057
54,13058
54,15231
55,5238
55,5376
55,6292
55,6434
55,6532
55,7280
55,9132
55,9597
55,12337
55,12523
55,12546
55,12584
55,13059
55,13873
55,15313
55,16185
55,16401
55,16416
55,16417
55,16418
55,16419
55,18044
55,19436
55,22884
55,23045
55,23052
55,23302
56,2283
56,5446
56,6249
56,6304
56,6320
56,6325
56,6338
56,6477
56,8799
56,10746
56,11429
56,11600
56,11650
56,12398
56,13771
56,15121
56,15123
56,15215
56,16272
56,16422
56,16436
56,16438
56,16440
56,16441
56,18220
56,18453
56,18454
56,18685
56,18923
56,19077
56,19088
56,19267
56,19456
56,19615
56,20078
56,20226
56,20752
56,20909
56,20999
56,21994
56,23574
56,23981
56,24195
56,24196
57,20628
58,8357
58,18375
58,19873
60,7436
60,12643
60,15085
60,15907
60,18801
60,18802
60,21980
60,24211
64,4523
64,4524
64,4526
64,4529
64,4531
64,4532
64,4534
64,4536
64,4538
64,4540
64,4542
64,4543
64,4546
64,4549
64,4551
64,4553
64,4556
64,4558
64,4560
64,4563
64,9022
64,12740
64,12840
64,13454
64,15163
64,18678
64,18679
64,18680
64,18681
64,18682
64,18969
64,18972
64,18975
64,18976
64,18977
64,18979
64,18980
64,18981
64,18982
64,18983
64,18984
64,18985
64,18986
64,18988
64,18989
64,18996
64,18997
64,18998
64,19095
64,19162
64,19208
64,19297
64,19298
64,19387
64,19388
64,19448
64,19943
64,20732
64,23880
65,5158
66,4511
66,4514
66,7476
66,12634
66,12871
66,12926
66,15164
66,16226
66,18541
66,18931
66,18932
66,18933
66,18936
66,18938
66,18939
66,18942
66,18943
66,18944
66,18945
66,18946
66,19096
66,19136
66,19175
66,19288
66,19296
66,19429
66,19430
66,19432
66,20593
66,20894
66,23545
66,23685
66,23863
66,24046
66,24047
66,24048
66,24049
66,24055
66,24056
66,24057
66,24058
67,5152
69,5186
69,6456
69,14110
70,5160
