"RUB_ID","NAME"
329,"РАМКИ: ИЗГОТОВЛЕНИЕ И ПРОДАЖА"
330,"СОЛЯРИЙ"
401,"ДЕТСКИЕ РАЗВЛЕКАТЕЛЬНЫЕ ЦЕНТРЫ"
332,"СЫРЬЕ ДЛЯ ПИЩЕВОЙ ПРОМЫШЛЕННОСТИ"
333,"ТОРГОВО-ПРОМЫШЛЕННАЯ ПАЛАТА"
334,"ЭЛЕКТРОНИКА"
335,"КОНТРОЛЬНО-ИЗМЕРИТЕЛЬНЫЕ ПРИБОРЫ И АВТОМАТИКА"
336,"КОНСАЛТИНГ"
339,"АНТИКВАРИАТ, КОЛЛЕКЦИОННЫЕ ТОВАРЫ"
340,"АВТОМАТИЗИРОВАННЫЕ СИСТЕМЫ УПРАВЛЕНИЯ"
341,"УПРАВЛЯЮЩИЕ КОМПАНИИ"
342,"ПРОМЫШЛЕННОЕ ОБОРУДОВАНИЕ"
343,"КРЕПЕЖНЫЕ ИЗДЕЛИЯ"
344,"КЕЙТЕРИНГ - КОРПОРАТИВНОЕ ПИТАНИЕ"
345,"КОТЕЛЬНЫЕ"
346,"КОНТРОЛЬНО-КАССОВЫЕ АППАРАТЫ"
350,"САНТЕХНИЧЕСКИЕ РАБОТЫ"
351,"ЯНТАРЬ"
1,"АВИАТРАНСПОРТНЫЕ УСЛУГИ, АЭРОПОРТ"
2,"АВТОЗАПРАВОЧНЫЕ СТАНЦИИ"
4,"АВТОЗАПЧАСТИ, АКСЕССУАРЫ"
5,"АВТОКРАСКИ, КОСМЕТИКА, МАСЛА"
7,"АВТОМОБИЛИ: МОЙКА"
8,"АВТОМОБИЛИ: ПРОИЗВОДСТВО И ПРОДАЖА"
9,"АВТОМОБИЛИ: ПРОКАТ"
10,"АВТОСЕРВИС"
11,"АВТОСТОЯНКИ И ГАРАЖНЫЕ ОБЩЕСТВА"
12,"АВТОТРАНСПОРТНЫЕ ПЕРЕВОЗКИ ГРУЗОВЫЕ"
15,"АВТОТРАНСПОРТНЫЕ ПЕРЕВОЗКИ ПАССАЖИРСКИЕ"
16,"АВТОШИНЫ И ДИСКИ"
17,"АВТОШКОЛЫ"
18,"АВТОЭВАКУАТОРЫ"
19,"АДВОКАТЫ, БЮРО АДВОКАТОВ"
21,"АПТЕКИ"
22,"АУДИО, CD, DVD"
24,"АУДИО-, ВИДЕОТЕХНИКА"
26,"АУДИО-, ВИДЕОТЕХНИКА: СЕРВИС"
27,"АУДИТ"
28,"БАНКИ"
30,"БАССЕЙНЫ ПЛАВАТЕЛЬНЫЕ"
31,"БЕЗОПАСНОСТЬ И ОХРАНА"
32,"БИЗНЕС: КОНСУЛЬТАЦИИ И УПРАВЛЕНИЕ"
34,"БИЛЬЯРД, БОУЛИНГ"
35,"БЛАГОУСТРОЙСТВО ТЕРРИТОРИЙ"
37,"БУХГАЛТЕРСКИЕ УСЛУГИ"
38,"БЫТОВАЯ ТЕХНИКА: ПРОИЗВОДСТВО И ПРОДАЖА"
39,"БЫТОВАЯ ТЕХНИКА: СЕРВИС"
40,"БЫТОВАЯ ХИМИЯ"
41,"БЫТОВЫЕ УСЛУГИ"
42,"ВЕНТИЛЯЦИЯ И КОНДИЦИОНИРОВАНИЕ"
43,"ВЕТЕРИНАРИЯ"
44,"ВОДНЫЙ ТРАНСПОРТ"
45,"ВОДОСНАБЖЕНИЕ, КАНАЛИЗАЦИЯ И ОТОПЛЕНИЕ"
46,"ВЫСТАВКИ, ЯРМАРКИ, БИЗНЕС-ЭКСПОЗИЦИИ"
47,"ГАЗЕТЫ И ЖУРНАЛЫ"
48,"ГАЗОВОЕ ХОЗЯЙСТВО"
49,"ГАЛАНТЕРЕЯ, МОДНЫЕ АКСЕССУАРЫ"
50,"ГИДРОТЕХНИКА И МЕЛИОРАЦИЯ"
