"BRANCH_ID","PHONE_ID","NAME","FAX","DIRECTOR","CONTACT","DESCRIPTION","PUBLISHABLE","MOBILE","MOBILE_PREFIX"
17248,35998,"968202",0,0,0,"",1,,
24089,42614,"23768",0,0,0,"",1,,
2149,3700,"353333",0,0,0,"",0,,
2155,3709,"573010",0,0,0,"",0,,
24090,42615,"92223",0,0,0,"",1,,
24091,42616,"78246",0,0,0,"",1,,
2189,3762,"533500",0,0,0,"",1,,
2203,3780,"218643",0,0,0,"",1,,
2506,4281,"386633",0,0,0,"Круглосуточно",1,,
2520,4297,"955808",1,0,0,"",1,,
1253,2163,"951370",1,0,0,"",0,,
24092,42617,"93334",0,0,0,"",1,,
1273,2203,"358347",1,0,0,"",1,,
24093,42618,"72238",0,0,0,"",1,,
11710,18485,"563186",0,0,0,"",1,,
1455,2566,"520420",0,0,0,"",1,,
1461,2577,"508475",0,0,0,"",1,,
24094,42619,"95523",0,0,0,"",1,,
3857,6320,"393848",0,0,0,"",1,,
24096,42621,"71123",0,0,0,"",1,,
3860,6324,"771155",0,0,0,"",1,,
3865,6327,"963064",0,0,0,"",1,,
3867,6333,"632614",0,0,0,"",1,,
3869,6335,"934580",1,0,0,"",1,,
3874,6340,"467367",0,0,0,"",1,,
4087,6613,"916755",1,0,0,"",1,,
4258,6836,"950440",0,0,0,"",1,,
4275,6854,"571898",0,0,0,"",1,,
4293,6880,"321005",0,0,0,"",1,,
24097,42622,"70025",0,0,0,"",1,,
4381,7011,"452351",0,0,0,"",1,,
4563,7321,"750209",0,0,0,"",0,,
4571,7337,"951215",0,0,0,"",1,,
4674,7469,"210752",0,0,0,"",0,,
24098,42623,"986733",0,0,0,"",1,,
24095,42620,"2948791",0,0,0,"",1,1,963
4559,7668,"965862",0,0,0,"",1,,
13057,35063,"931324",0,0,0,"",0,,
3995,6496,"963124",1,0,0,"",0,,
13031,35064,"935282",0,0,0,"",1,,
6797,35065,"951324",0,0,0,"",0,,
13071,35066,"935282",0,0,0,"",1,,
20747,35071,"731892",0,0,0,"",1,,
20747,35072,"731893",0,0,0,"",0,,
24100,42625,"32600",0,0,0,"",1,,
4016,6518,"643337",0,0,0,"",1,,
4024,6527,"616929",0,0,0,"",1,,
4038,6545,"464883",1,0,0,"",1,,
24101,42626,"91248",0,0,0,"",1,,
2715,4580,"355478",0,0,0,"",1,,
2778,4661,"465236",1,0,0,"",0,,
2783,4673,"729304",1,0,0,"",0,1,4012
2785,4677,"4527303",0,0,0,"",1,1,911
3008,4998,"32146",0,0,0,"",1,,
3120,5194,"21661",0,0,0,"",1,,
3594,5924,"453372",0,0,0,"",1,,
25080,44589,"537021",0,0,0,"",1,,
21851,48893,"32152",0,0,0,"",0,,
21853,48894,"67584",0,0,0,"",0,,
17503,6025,"364055",0,0,0,"",1,,
26022,50151,"4762834",0,0,0,"",0,1,981
1735,45332,"533966",0,0,0,"",1,,
3683,6063,"645777",0,0,0,"Рецепция",1,,
25079,44587,"4973457",0,0,0,"",0,1,911
25079,44588,"2354385",0,0,0,"",0,1,906
22748,45334,"533966",0,0,0,"",1,,
1853,45335,"555055",0,0,0,"Кредитный отдел",0,,
25474,45339,"509846",0,0,0,"",1,1,4012
17625,29360,"2613548",0,0,0,"",1,1,921
17626,29361,"957225",0,0,0,"",1,,
313,29362,"303397",0,0,0,"",0,,
