"CONTRACT_ID","ORG_ID","CONTRACT_NAME","CONTRACT_CODE","TRANSACTION_DATE","CONTRACT_AMOUNT","PAYED_AMOUNT","DEBIT","STATUS_ID","PAY_DATE","SUGGEST_PAY_DATE"
2866,863,"312","312-ГТС-2012",13.07.11,45000,0,-45000,1003,,""
2867,8048,"211","211-ГТС-2012",25.07.11,5000,0,-5000,1003,,""
2868,16779,"212","212-ГТС-2012",07.07.11,5000,0,-5000,1003,,""
2869,14921,"310","310-ГТС-2012",28.06.11,5000,0,-5000,1003,,""
2897,4761,"467","467-ГТС-2012",01.09.11,55250,0,-55250,1003,,""
2898,17555,"480","480-ГТС-2012",08.09.11,2000,0,-2000,1003,,""
2899,1160,"481","481-ГТС-2012",13.09.11,38000,0,-38000,1003,,""
2900,1161,"481/1","481/1-ГТС-2012",13.09.11,0,0,0,1003,,""
2901,20189,"485","485-ГТС-2012",26.09.11,4250,0,-4250,1003,,""
2902,16559,"473","473-ГТС-2012",01.09.11,5000,0,-5000,1003,,""
2821,1370,"443","443-ГТС-2012",01.07.11,5000,0,-5000,1003,,""
2822,4909,"445","445-ГТС-2012",01.06.11,5000,0,-5000,1003,,""
2823,1766,"418","418-ГТС-2012",01.06.11,16000,0,-16000,1003,,""
2824,8953,"438","438-ГТС-2012",01.06.11,5000,0,-5000,1003,,""
2825,11880,"440","440-ГТС-2012",01.06.11,17000,0,-17000,1003,,""
3907,2197,"342","342-ГТС-2014",24.10.13,4000,0,-4000,1003,,""
2827,1212,"429","429-ГТС-2012",01.06.11,4250,0,-4250,1003,,""
2903,6581,"471","471-ГТС-2012",06.09.11,4675,0,-4675,1003,,""
2904,3510,"478","478-ГТС-2012",01.09.11,8000,0,-8000,1003,,""
2905,96,"475","475-ГТС-2012",01.09.11,8000,0,-8000,1003,,""
2906,10969,"477","477-ГТС-2012",01.09.11,4675,0,-4675,1003,,""
2909,10001,"466/1","466/1-ГТС-2012",22.07.11,0,0,0,1003,,""
2908,20194,"466","466-ГТС-2012",22.07.11,16000,0,-16000,1003,,""
2910,9032,"301","301-ГТС-2012",16.09.11,5000,0,-5000,1003,,""
2911,1990,"437","437-ГТС-2012",01.08.11,4250,0,-4250,1003,,""
3150,18961,"719","719-ГТС-2012",01.06.11,5000,0,-5000,1003,,""
2913,14138,"419","419-ГТС-2012",01.06.11,17100,0,-17100,1003,,""
3132,19688,"5","5-ГТС-2012",24.06.11,83000,0,-83000,1003,,""
2915,722,"138","138-ГТС-2012",18.08.11,8000,0,-8000,1003,,""
2916,7406,"155","155-ГТС-2012",28.09.11,11050,0,-11050,1003,,""
2917,8680,"152","152-ГТС-2012",28.09.11,4500,0,-4500,1003,,""
2918,670,"105","105-ГТС-2012",12.05.11,8000,0,-8000,1003,,""
2864,258,"416","416-ГТС-2012",06.04.11,5000,0,-5000,1003,,""
2872,920,"622","622-ГТС-2012",25.08.11,5500,0,-5500,1003,,""
2873,15724,"621","621-ГТС-2012",25.08.11,5000,0,-5000,1003,,""
2874,614,"618","618-ГТС-2012",18.08.11,7200,0,-7200,1003,,""
2875,18854,"615","615-ГТС-2012",08.08.11,5000,0,-5000,1003,,""
2876,17620,"619","619-ГТС-2012",22.08.11,5000,0,-5000,1003,,""
2919,6700,"144","144-ГТС-2012",15.09.11,12750,0,-12750,1003,,""
2920,14561,"131","131-ГТС-2012",24.08.11,20000,0,-20000,1003,,""
2921,17310,"151","151-ГТС-2012",21.09.11,5000,0,-5000,1003,,""
2922,3554,"147","147-ГТС-2012",15.09.11,8000,0,-8000,1003,,""
2923,10793,"146","146-ГТС-2012",13.09.11,4000,0,-4000,1003,,""
2924,9303,"123","123-ГТС-2012",07.07.11,35000,0,-35000,1003,,""
2925,2194,"137","137-ГТС-2012",09.08.11,8000,0,-8000,1003,,""
3717,1395,"401","401-ГТС-2014",01.04.13,13600,0,-13600,1003,,""
2927,11999,"130","130-ГТС-2012",02.09.11,5000,0,-5000,1003,,""
2929,6703,"103","103-ГТС-2012",24.08.11,19550,0,-19550,1003,,""
2932,729,"132","132-ГТС-2012",02.08.11,5000,0,-5000,1003,,""
2931,4456,"140","140-ГТС-2012",19.08.11,5000,0,-5000,1003,,""
2933,10831,"127","127-ГТС-2012",05.08.11,4250,0,-4250,1003,,""
2934,293,"128","128-ГТС-2012",01.07.11,8000,0,-8000,1003,,""
2936,19562,"125","125-ГТС-2012",16.06.11,19800,0,-19800,1003,,""
3910,20333,"558","558-ГТС-2014",05.11.13,7200,0,-7200,1003,,""
3080,2687,"494","494-ГТС-2012",26.10.11,2000,0,-2000,1003,,""
3081,20208,"493","493-ГТС-2012",24.10.11,2000,0,-2000,1003,,""
3082,20234,"492","492-ГТС-2012",21.10.11,4000,0,-4000,1003,,""
3083,2542,"491","491-ГТС-2012",11.10.11,4250,0,-4250,1003,,""
3084,925,"479","479-ГТС-2012",15.10.11,13600,0,-13600,1003,,""
3085,2603,"490","490-ГТС-2012",11.10.11,7200,0,-7200,1003,,""
3086,20569,"489","489-ГТС-2012",07.10.11,4000,0,-4000,1003,,""
3087,20218,"489/1","489/1-ГТС-2012",07.10.11,0,0,0,1003,,""
3088,3443,"488","488-ГТС-2012",01.10.11,2000,0,-2000,1003,,""
3145,8373,"5/512","5/512-ГТС-2012",02.09.11,25500,0,-25500,1003,,""
3146,2789,"5/509","5/509-ГТС-2012",26.07.11,45000,0,-45000,1003,,""
3147,1480,"5/509","5/509-ГТС-2012",26.07.11,0,0,0,1003,,""
3148,1021,"5/508","5/508-ГТС-2012",26.07.11,18500,0,-18500,1003,,""
3149,2580,"5/501","5/501-ГТС-2012",01.07.11,9350,0,-9350,1003,,""
3151,3860,"750","750-ГТС-2012",31.10.11,5000,0,-5000,1003,,""
3152,16653,"748","748-ГТС-2012",01.10.11,8000,0,-8000,1003,,""
3153,482,"742","742-ГТС-2012",20.09.11,13000,0,-13000,1003,,""
3154,4958,"731","731-ГТС-2012",27.06.11,23000,0,-23000,1003,,""
3155,16063,"704","704-ГТС-2012",26.04.11,5500,0,-5500,1003,,""
3156,4160,"738","738-ГТС-2012",29.07.11,11700,0,-11700,1003,,""
3157,2281,"721","721-ГТС-2012",01.09.11,4500,0,-4500,1003,,""
3158,6556,"703","703-ГТС-2012",20.04.11,15000,0,-15000,1003,,""
3134,342,"638","638-ГТС-2012",09.11.11,5000,0,-5000,1003,,""
3297,661,"117/1","117/1-ГТС-2013",29.06.12,5000,0,-5000,1003,,""
3136,7278,"628","628-ГТС-2012",29.09.11,6375,0,-6375,1003,,""
3137,19798,"610","610-ГТС-2012",30.06.11,4500,0,-4500,1003,,""
3138,8073,"603","603-ГТС-2012",29.07.11,40000,0,-40000,1003,,""
3139,15697,"603/1","603/1-ГТС-2012",29.07.11,0,0,0,1003,,""
3140,3471,"231","231-ГТС-2012",07.11.11,16150,0,-16150,1003,,""
3159,1115,"713","713-ГТС-2012",01.09.11,8000,0,-8000,1003,,""
3160,1365,"710","710-ГТС-2012",17.05.11,14450,0,-14450,1003,,""
3161,16027,"710/1","710/1-ГТС-2012",17.05.11,0,0,0,1003,,""
3162,16029,"710/2","710/2-ГТС-2012",17.05.11,0,0,0,1003,,""
3718,1104,"407","407-ГТС-2014",01.04.13,6800,0,-6800,1003,,""
3164,18118,"451","451-ГТС-2012",01.11.11,19000,0,-19000,1003,,""
3165,11961,"881","881-ГТС-2012",24.11.11,12800,0,-12800,1003,,""
3166,11996,"880","880-ГТС-2012",24.11.11,5000,0,-5000,1003,,""
3167,20333,"878","878-ГТС-2012",23.11.11,8000,0,-8000,1003,,""
3168,2977,"877","877-ГТС-2012",21.11.11,5000,0,-5000,1003,,""
3169,20866,"875","875-ГТС-2012",02.11.11,5000,0,-5000,1003,,""
3170,1952,"853","853-ГТС-2012",05.09.11,3000,0,-3000,1003,,""
3171,20345,"957","957-ГТС-2012",25.10.11,8000,0,-8000,1003,,""
3174,9497,"950","950-ГТС-2012",01.10.11,44795,0,-44795,1003,,""
3173,20507,"959","959-ГТС-2012",26.10.11,8000,0,-8000,1003,,""
2986,15829,"305","305-ГТС-2012",16.06.11,66500,0,-66500,1003,,""
2987,1898,"801","801-ГТС-2012",08.06.11,11700,0,-11700,1003,,""
2988,2353,"956","956-ГТС-2012",24.10.11,5000,0,-5000,1003,,""
2989,18379,"954","954-ГТС-2012",13.10.11,26600,0,-26600,1003,,""
2990,694,"955","955-ГТС-2012",10.10.11,2500,0,-2500,1003,,""
2991,9107,"952","952-ГТС-2012",04.10.11,5500,0,-5500,1003,,""
2992,1129,"951","951-ГТС-2012",28.09.11,4250,0,-4250,1003,,""
2993,7295,"949","949-ГТС-2012",22.09.11,5780,0,-5780,1003,,""
2994,3628,"948","948-ГТС-2012",21.09.11,8000,0,-8000,1003,,""
3720,6556,"413","413-ГТС-2014",01.04.13,15000,0,-15000,1003,,""
2996,16905,"944","944-ГТС-2012",12.09.11,3000,0,-3000,1003,,""
2997,4361,"943","943-ГТС-2012",06.09.11,2000,0,-2000,1003,,""
2998,1496,"942","942-ГТС-2012",31.08.11,13000,0,-13000,1003,,""
2999,20523,"942/1","942/1-ГТС-2012",31.08.11,0,0,0,1003,,""
3063,20409,"170","170-ГТС-2012",28.10.11,2000,0,-2000,1003,,""
3064,20551,"163","163-ГТС-2012",28.10.11,12800,0,-12800,1003,,""
3065,19980,"122","122-ГТС-2012",04.07.11,27000,0,-27000,1003,,""
3066,4628,"154","154-ГТС-2012",03.11.11,8000,0,-8000,1003,,""
3067,19897,"159","159-ГТС-2012",24.10.11,2200,0,-2200,1003,,""
3068,20425,"161","161-ГТС-2012",18.10.11,8000,0,-8000,1003,,""
3070,7426,"166","166-ГТС-2012",25.10.11,5000,0,-5000,1003,,""
3719,20561,"442","442-ГТС-2014",01.04.13,10000,0,-10000,1003,,""
3000,3113,"953","953-ГТС-2012",10.10.11,8000,0,-8000,1003,,""
3001,1771,"945","945-ГТС-2012",15.09.11,5800,0,-5800,1003,,""
3007,2050,"741","741-ГТС-2012",15.09.11,5000,0,-5000,1003,,""
3008,1366,"705","705-ГТС-2012",27.04.11,52500,0,-52500,1003,,""
3009,10857,"499","499-ГТС-2012",10.08.11,43000,0,-43000,1003,,""
3010,12295,"740","740-ГТС-2012",01.10.11,5000,0,-5000,1003,,""
3011,18705,"746","746-ГТС-2012",29.09.11,4250,0,-4250,1003,,""
3012,20537,"749","749-ГТС-2012",24.10.11,5000,0,-5000,1003,,""
3013,1140,"743","743-ГТС-2012",22.09.11,4250,0,-4250,1003,,""
3016,20371,"720/1","720/1-ГТС-2012",30.09.11,0,0,0,1003,,""
3015,7902,"720","720-ГТС-2012",30.09.11,9000,0,-9000,1003,,""
3017,5428,"729","729-ГТС-2012",27.06.11,11050,0,-11050,1003,,""
3018,6697,"714","714-ГТС-2012",01.10.11,2000,0,-2000,1003,,""
3019,1039,"724","724-ГТС-2012",06.06.11,8000,0,-8000,1003,,""
3020,2051,"745","745-ГТС-2012",22.09.11,5000,0,-5000,1003,,""
3021,20538,"737","737-ГТС-2012",06.10.11,2500,0,-2500,1003,,""
3071,1893,"136","136-ГТС-2012",09.08.11,8000,0,-8000,1003,,""
3072,1122,"164","164-ГТС-2012",27.10.11,16150,0,-16150,1003,,""
3073,20552,"160","160-ГТС-2012",17.10.11,5000,0,-5000,1003,,""
3074,369,"165","165-ГТС-2012",24.10.11,5000,0,-5000,1003,,""
3075,1069,"142","142-ГТС-2012",17.10.11,5000,0,-5000,1003,,""
3076,10035,"158","158-ГТС-2012",17.10.11,5000,0,-5000,1003,,""
3002,13627,"637","637-ГТС-2012",07.11.11,5000,0,-5000,1003,,""
3003,4060,"635","635-ГТС-2012",01.11.11,7000,0,-7000,1003,,""
3004,438,"634","634-ГТС-2012",01.11.11,5000,0,-5000,1003,,""
3005,14327,"631","631-ГТС-2012",30.09.11,8000,0,-8000,1003,,""
3037,4634,"735","735-ГТС-2012",28.07.11,8000,0,-8000,1003,,""
3036,1345,"733","733-ГТС-2012",12.07.11,16000,0,-16000,1003,,""
3038,19108,"734","734-ГТС-2012",01.08.11,4250,0,-4250,1003,,""
3039,11752,"711","711-ГТС-2012",22.08.11,8800,0,-8800,1003,,""
3040,7630,"864","864-ГТС-2012",28.09.11,4250,0,-4250,1003,,""
3041,10374,"707","707-ГТС-2012",19.08.11,12000,0,-12000,1003,,""
3042,463,"707/1","707/1-ГТС-2012",19.08.11,0,0,0,1003,,""
3043,10995,"859","859-ГТС-2012",20.09.11,7000,0,-7000,1003,,""
3044,1178,"874","874-ГТС-2012",03.11.11,14400,0,-14400,1003,,""
3045,1092,"869","869-ГТС-2012",14.10.11,40000,0,-40000,1003,,""
3077,10063,"143","143-ГТС-2012",28.09.11,2500,0,-2500,1003,,""
3106,2099,"876","876-ГТС-2012",16.11.11,19550,0,-19550,1003,,""
3107,20675,"876/1","876/1-ГТС-2012",16.11.11,0,0,0,1003,,""
3108,20677,"876","876-ГТС-2012",10.11.11,5000,0,-5000,1003,,""
3109,11335,"854","854-ГТС-2012",06.09.11,7200,0,-7200,1003,,""
3110,17038,"863","863-ГТС-2012",22.09.11,12800,0,-12800,1003,,""
3111,3469,"873","873-ГТС-2012",01.11.11,7200,0,-7200,1003,,""
3112,1964,"318","318-ГТС-2012",09.08.11,4675,0,-4675,1003,,""
3721,1796,"430","430-ГТС-2014",01.04.13,8000,0,-8000,1003,,""
3023,18582,"747","747-ГТС-2012",29.09.11,5000,0,-5000,1003,,""
3024,4084,"739","739-ГТС-2012",01.09.11,15000,0,-15000,1003,,""
3025,75,"744","744-ГТС-2012",22.09.11,5000,0,-5000,1003,,""
3026,18374,"709","709-ГТС-2012",07.09.11,2800,0,-2800,1003,,""
3027,19103,"735","735-ГТС-2012",01.09.11,60000,0,-60000,1003,,""
3028,1216,"720","720-ГТС-2012",15.09.11,4675,0,-4675,1003,,""
3029,1263,"718","718-ГТС-2012",16.09.11,16200,0,-16200,1003,,""
3030,335,"732","732-ГТС-2012",05.07.11,5000,0,-5000,1003,,""
3031,18500,"738/1","738/1-ГТС-2012",17.08.11,13000,0,-13000,1003,,""
3032,2607,"708","708-ГТС-2012",01.09.11,5000,0,-5000,1003,,""
