"ADDRESS_ID","HOUSE","ENTRANCE","CASE","STAGE","OFFICE","CABINET","DISTRICT_ID","CITY_ID","STREET_ID","POST_INDEX_ID","OTHER","PAVILION","LITERA"
738,"83 А","","","","","",,0,352,0,"","",""
746,"40","","","","513","",,0,535,,"","",""
749,"38","12","","","","",,0,454,,"","",""
753,"83 А","","","","","",,0,214,,"","",""
760,"76","","","","","",,0,675,,"","",""
764,"30","","","1","","",,0,818,,"","",""
25287,"107","","","","","",,0,515,,"","",""
775,"4 А","","","","","",,0,101,,"","",""
25288,"17 Б","","","","702","",,0,188,,"","",""
780,"137","","","","","",,0,6,,"","",""
784,"214","","","","","",,0,6,,"","",""
788,"240","","","","","",,0,6,,"","",""
805,"6-8","","","","","",,0,45,,"","",""
12316,"113","","","","","",,0,438,,"","",""
3550,"2","","","","","207",,0,744,,"","",""
3551,"2","","","","","",,0,743,,"","",""
3552,"39 А","","","","","",,0,245,,"","",""
20028,"9","","","","","",,340,1912,,"","",""
20029,"5","","","","","",,79,1908,,"","",""
1468,"2","","","","","",,0,497,,"","",""
1470,"8","","","","","",,0,276,,"","",""
1476,"30","","","","407","",,0,438,,"","",""
1480,"2","","","","","",,0,389,,"","",""
1489,"","","","","","",,0,,,"","",""
1492,"11","","","","","",,0,200,,"рынок Сельма","",""
1500,"166","","","","","",,0,214,,"","",""
1504,"29/31","","","","","",,0,299,,"","",""
1509,"51 А","","","","","",,0,6,,"","",""
1513,"7 А","","","","","",,6,1085,,"","",""
1516,"33 А","","","","","",,0,818,,"","",""
1521,"83 А","","","","","",,0,352,0,"","",""
1525,"7 А","","","","","",,0,231,0,"","",""
1533,"7/15","","","","2","",,0,363,,"","",""
1537,"5 А","","","","","",,0,231,,"","",""
1542,"34","","","3","","",,0,677,21,"","",""
1385,"39","","","","","",,0,438,20,"","",""
1389,"135","","","","","",,0,438,122,"","",""
1393,"2 Б","","","","","",,0,330,,"","",""
1397,"13","","","","","",,0,250,,"","",""
1401,"41","","","","","",,0,11,,"","",""
1405,"30","","","","","",,0,657,,"","",""
1409,"17","","","","","3",,0,838,4,"","",""
1413,"54","","","","","",,0,11,,"","",""
1417,"38","12","","","","",,0,454,,"","",""
1426,"74 А","","","","","",,0,245,16,"","",""
28315,"34","","","","","",,0,937,,"","",""
1438,"2 Б","","","","","",,0,330,4,"","",""
1453,"1 А","","","","","",,0,54,,"","",""
1458,"5","","","2","","",,0,664,,"","",""
1462,"50","","","","","",,0,766,,"","",""
1559,"51","","","","","",,0,245,16,"","",""
28316,"10","","","","","",,367,2085,,"","",""
1569,"18","","","5","513, 515","",,0,855,,"","",""
1577,"156-160","","","","","",,0,54,20,"","",""
28317,"30","","","","","",,0,286,,"","",""
1589,"4","","","","","",,0,63,,"","",""
1593,"34","","","","","",,0,677,15,"","",""
1597,"67 Б","","","2","204","",,0,438,,"","",""
1598,"","","","","","",,0,515,0,"","",""
1602,"57/59","","","","","",,0,515,,"","",""
1606,"10","","","","","",,0,734,,"","",""
1621,"1","","","","","",,0,657,5,"","",""
28318,"1","","","","","",,13,1475,,"","",""
1633,"","","","","","",,0,,,"","",""
1635,"159","","","","","",,0,766,13,"","",""
1639,"182","","","","","",,0,766,,"","",""
1641,"","","","","","",,0,926,,"","",""
1643,"","","","","","",,0,214,242,"","22",""
1645,"44","","","","","",,0,850,242,"ор-р Инвестбанк","",""
1646,"47 А","","","","","",,0,766,242,"","",""
1650,"28","","","3","","",,0,322,20,"","",""
28319,"10","","","","","",,13,1450,,"","",""
1655,"251 А","","","","","",,0,641,8,"","",""
28320,"70 Е","","","","","",,13,1027,,"","",""
2491,"1 А","","","","","",,0,1014,,"","",""
2492,"1 А","","","","","",,38,1254,,"","",""
19487,"4","","","","","",,404,2154,,"","",""
2494,"72 А","","","","","",,0,28,,"","",""
2495,"15 А","","","","","",,0,902,,"","",""
28321,"2 Б","","","","","",,13,1810,,"","",""
21289,"40","","","","","",,159,1190,,"","",""
19494,"16","","","","","",,46,1485,,"","",""
28322,"4","","","","","",,13,2278,,"","",""
2501,"55","","","","","",,0,585,,"","",""
2502,"11/15","","","","","",,0,322,,"","",""
2503,"55","","","","","",,0,585,20,"","",""
2504,"42","","","","","",,0,641,8,"","",""
2505,"4","","","","","",,0,418,6,"","",""
21291,"40","","","","","",,159,1190,,"","",""
2510,"34","","","","","",,0,677,,"","",""
28323,"14","","","","","",,13,1396,,"","",""
21294,"114","","","","","",,159,1190,,"","",""
2522,"4 А","","","","","",,0,902,,"","",""
2526,"26","","","","","",,0,902,,"","",""
2530,"16","","","","","",,0,197,21,"","",""
2535,"23-25","","","","","",,0,627,,"","",""
2556,"1 А","","","","","",,0,63,,"","",""
21297,"1","","","","","",,159,1758,,"","",""
28324,"70 В","","","","","",,13,1027,,"","",""
21307,"","","","","","",,0,,,"","",""
2580,"101","","","","","",,0,597,,"","",""
2589,"2 Б","","","","","",,0,63,,"","",""
28325,"6","","","","","",,7,1621,,"","",""
1377,"84","","","","","",,0,504,122,"","",""
28326,"12/2 Б","","","","","",,7,1097,,"","",""
2536,"1","","","","","",,0,197,21,"","",""
28327,"13","","","","","",,7,2237,,"","",""
2542,"5 Г","","","","","",,0,438,,"","",""
2547,"12-20","","","","","",,0,327,,"","",""
28328,"31","","","","","",,7,1097,,"","",""
2667,"","","","","","",,0,852,,"г/о Луч-3","",""
2736,"7","","","","","",,0,212,,"","",""
2740,"23","","","","","",,0,345,20,"","",""
