"ORG_ID","FACT_NAME","DATE_POSTED","PROJECT_ID","FROM_ID","SOC_RUBRIC","ACTIVE","MDF_USER","MDF_TIME","AUTHOR_USER","AGENT_ID"
315,"Гипрозем",02.06.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1010
355,"Первая женская аптека",02.06.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1010
1170,"Балтик-Оптик",25.07.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1013
1200,"Медистом",26.07.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1022
1263,"Автойл Процессинговый центр",27.07.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1013
776,"ДВ Транспорт ООО",21.06.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1013
1716,"ЕвроМед",17.08.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1010
2081,"Рыцарь Автоцентр",13.09.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1013
2120,"Студия красоты Елены Еременко",13.09.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1013
21987,"Калининградский институт переподготовки кадров агробизнеса",13.11.12,1007,2,2,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",1013
21988,"Автоколонна №1801",13.11.12,1007,2,2,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",1007
926,"Статус-Эксперт ГК",26.06.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1007
21989,"Военно-морской клинический госпиталь Балтийского флота ФГУ 1409 ",13.11.12,1007,2,1,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",1010
1022,"ЧИСТАЯ КОМПАНИЯ — К ООО Первый Kepxeр Центр",29.06.07,1007,2,1,1,"GTS_ADMIN",29.01.14,"",1013
800,"Биодар Плюс",21.06.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1022
1060,"Архпроект",04.07.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1022
21990,"Клюкен-Михайловъ",13.11.12,1007,2,2,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",1007
11999,"СтройРегионСервис ГК Сфера Строительства ООО",10.10.08,1007,2,1,1,"GTS_ADMIN",29.01.14,"",1013
21991,"ЭнергоСервис ООО",13.11.12,1007,2,1,1,"GTS_ADMIN",12.11.13,"GTS_ADMIN",1008
18584,"Кардашевская Ю.С. ИП",22.10.10,1007,2,1,1,"GTS_ADMIN",11.11.13,"KSENIJ",1004
1939,"Окна Vetrex",11.09.07,1007,2,1,1,"GTS_ADMIN",29.01.14,"",1022
22263,"Парикмахерская",31.01.13,1007,2,1,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",1010
2240,"2D Studio",14.09.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1008
2261,"Елебесов А.С. ИП",17.09.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1010
